,Unnamed: 0,web-scraper-order,web-scraper-start-url,titleproduct,location,shippingfee,price,sellerrating,reviews,reviewrating,shipontimerating,chatresponserating,reviews_en
0,0,1625651100-336,https://www.lazada.com.ph/products/1-pair-2pcs-gamers-sweatproof-gloves-mobile-finger-sleeve-thumb-touchscreen-game-controller-phone-gaming-i1769544644-s7559920943.html?spm=a2o4l.searchlistcategory.bestshown_1.1.52a0313cPUWXwE&search=1,1 Pair (2pcs) Gamers Sweatproof Gloves Mobile Finger Sleeve Thumb Touchscreen Game Controller Phone Gaming,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,28,96,Maganda at sulit sa presyo. Bagay sa mahilig sa mobile games lalo na sa mga pasmado. Pwedeng pang regalo.,4.9,100,99,"Beautiful and worth the price. Things for mobile game lovers, especially those who are addicted. More gifts are available."
1,2,1625651120-452,https://www.lazada.com.ph/products/local-stock2021-mini-retro-tv-game-console-classic-6202000-built-in-games-with-2-controllers-new-handheld-game-players-i1875761575-s9026765434.html?spm=a2o4l.searchlistcategory.list.137.52a0313cuB9oFO&search=1,[Local Stock]2021 Mini Retro TV Game Console Classic 620/2000 Built-in Games With 2 Controllers NEW Handheld Game Players,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,380,98,ayus naman. madali lang sya ikabit sa tv at madameng games. madali lang din controlin yung controlers. fast delivery din. thank you,4.8,99,100,ayus naman. it's easy to connect to tv and lots of games. it's also easy to control the controls. fast delivery also. thank you
2,4,1625651133-521,https://www.lazada.com.ph/products/nintendo-battery-pack-gba-sp-gameboy-advance-sp-with-free-screwdriver-i409934292-s992606992.html?spm=a2o4l.searchlistcategory.list.124.52a0313cjnkmIo&search=1,Nintendo Battery Pack GBA SP Gameboy Advance SP with free screwdriver,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,300,94,"ok maganda ang pagkabalot, sinubukan ko agad nang dumating at gumana naman, salamat sa ryder suki.",4.8,99,98,"ok the packaging is good, I tried it right away and it worked, thanks to ryder suki."
3,5,1625651174-700,https://www.lazada.com.ph/products/dobe-ps4-controller-mobile-smart-phone-clip-mount-holder-for-sony-playstation-4-dualshock-4-controller-i934436360-s3039390952.html?spm=a2o4l.searchlistcategory.list.74.52a0313cuYeryQ&search=1,DOBE PS4 Controller Mobile Smart Phone Clip Mount Holder for Sony PlayStation 4 Dualshock 4 Controller,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,198,97,We're very happy that you liked our product. Thank you for giving us 5-star rating. Please chat us to get an exclusive discount voucher on your next purchase.,4.9,99,100,We're very happy that you liked our product. Thank you for giving us 5-star rating. Please chat us to get an exclusive discount voucher on your next purchase.
4,11,1625651155-615,https://www.lazada.com.ph/products/sulit-choice-wasp-finger-sleeve-2-mobile-phone-gaming-sweat-proof-finger-cover-finger-sleeve-finger-gloves-for-pubg-call-of-duty-peace-elite-game-profession-occupation-touch-screen-thumb-gamepad-i1683522046-s7273066236.html?spm=a2o4l.searchlistcategory.list.99.52a0313cT1sZPk&search=1,Sulit Choice Wasp Finger Sleeve 2 Mobile Phone Gaming Sweat-Proof Finger Cover Finger Sleeve Finger Gloves for PUBG Call of duty Peace Elite Game profession Occupation Touch Screen Thumb Gamepad,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,10,95,maganda sya...yun lang,4.9,96,98,she's beautiful ... that's all
5,13,1625651130-504,https://www.lazada.com.ph/products/w10-mobile-game-pad-joystick-gamepad-handle-design-i351376948-s793626122.html?spm=a2o4l.searchlistcategory.list.127.52a0313cbVVA4H&search=1,W10 Mobile Game pad Joystick Gamepad Handle Design,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,53.9,90,ok Sana kaso dumudulas ung cp tapos pag lumalakad ung character mo as pubg di sya pwedi bumaril dapat naka hinto sya para bumarin di ka makapag side step habang bumabaril. kaya nilagyan ko Ng aluminum foil.chaka hinabaan ko ung harang nya sa baba para di dumulas c.p ngayon ok na sya,4.6,96,97,ok I hope in case the cp slips then when your character walks as a pubg he can't shoot he should have stopped to shoot you can't take a side step while shooting. so I put aluminum foil. chaka I stretched the barrier at the chin so it doesn't slip c.p now she's ok
6,14,1625651165-672,https://www.lazada.com.ph/products/18-pin-carbon-fiber-finger-sleeves-for-pubg-mobile-games-press-screen-finger-sleeves16-pcs-i899522819-s2885112277.html?spm=a2o4l.searchlistcategory.list.86.52a0313cWxs1xO&search=1,18-Pin Carbon Fiber Finger Sleeves For PUBG Mobile Games Press Screen Finger Sleeves(16 Pcs),"Metro Manila~Quezon City, Quezon City, Project 6",41.5,57.33,96,well well well... gustong gusto ng mga anak ko... oorder ulit ako...napakasmooth nya gamitin,4.8,99,69,well well well ... my kids want it ... order me again ... it's very smooth to use
7,16,1625651145-580,https://www.lazada.com.ph/products/gen-game-x3-wireless-bluetooth-gamepad-game-controller-for-android-pc-tv-box-i1930196688-s8280047457.html?spm=a2o4l.searchlistcategory.list.108.52a0313cXDZLP7&search=1,GEN GAME X3 Wireless Bluetooth Gamepad Game Controller for Android PC TV Box,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,270,89,"The parcel was shipped immediately&arrived in good condition&subrang safe ksi nka bubble wrap.OK NmaN YuNg X3 controller all my games GumaNa nman LaLo na Sa ML at first nhihirapan ako nangapa pa but msanaY din f ktagaLan.Thanks Sa seller,Lazada&sa mbait na Delivery Man.SWAK&suLiT Sa Budget",4.4,99,98,"The parcel was shipped immediately & arrived in good condition & super safe ksi nka bubble wrap.OK NmaN YuNg X3 controller all my games GumaNa nman LaLo na Sa ML at first nhihirapan ako nangapa pa but msanaY din f ktagaLan.Thanks Sa seller, Lazada & sa mbait na Delivery Man. SWAK & SULiT On Budget"
8,17,1625651115-406,https://www.lazada.com.ph/products/local-stock-the-latest-classic-mini-game-console-tv-game-console-built-in-2000-retro-games-dual-handheld-video-game-console-av-output-8-bit-fun-box-two-childrens-gift-electronic-game-console-handle-i2033764107-s8983823987.html?spm=a2o4l.searchlistcategory.list.142.52a0313cnsy1cv&search=1,"[Local stock] The latest classic mini game console, TV game console, built-in 2000 retro games, dual handheld video game console, AV output, 8-bit fun box, two children‚??s gift, electronic game console handle","Metro Manila~Quezon City, Quezon City, Project 6",41.5,509.6,96,"Sarap sumali  sa isang kumpetisyon, ang antas ng aking laro ay napakataas hahaha happy time?????????",5,98,100,"Sarap join a competition, the level of my game is very high hahaha happy time?????????"
9,19,1625651102-363,https://www.lazada.com.ph/products/mini-video-game-console-entertainment-system-built-in-400-family-game-box-i275135314-s405605652.html?spm=a2o4l.searchlistcategory.list.154.52a0313ckSnGMn&search=1,Mini Video Game Console Entertainment System Built-in 400 family game box,"Metro Manila~Quezon City, Quezon City, Project 6",41.5,445,81,"ty seller ‚ù§‚ù§‚ù§??Ø???
panalo talaga tuwang tuwa anak ko..at salamat sa rider mabait ??Ø‚ù§solid ?????????",4.5,100,92,"ty seller ‚ù§‚ù§‚ù§??Ø???
panalo talaga tuwang tuwa anak ko..at salamat sa rider mabait ??Ø‚ù§solid ?????????"
